Wall time,Step,Value
1658947479.9356818,849,2.0
1658947968.5136063,1849,6.0
1658948037.3111858,1999,6.0
1658948257.8765237,2449,8.0
1658948571.6805882,3099,10.0
1658948631.168061,3222,10.0
1658949052.2605042,4099,13.0
1658950310.8328054,6699,22.0
1658950363.755032,6799,23.0
1658950553.918039,7199,24.0
1658951838.0199451,9849,33.0
1658951936.6205616,10049,34.0
1658952372.0816867,10949,37.0
1658952470.6492836,11149,38.0
1658952615.451315,11449,39.0
1658952742.694323,11719,39.0
1658953463.5777118,13199,45.0
1658953509.5298913,13299,45.0
1658953677.6052134,13649,46.0
1658954284.6736872,14899,50.0
1658954698.0490797,15749,53.0
1658955812.0246453,18049,61.0
1658955835.1626372,18099,61.0
1658956246.5943952,18949,64.0
1658956299.0099905,19049,65.0
1658956612.0796995,19699,67.0
1658956681.251152,19849,67.0
1658956704.2425888,19899,67.0
1658956902.4890077,20299,69.0
1658958184.5914855,22949,78.0
1658958741.3137004,24099,82.0
1658959077.3460035,24799,84.0
1658959221.715917,25099,85.0
1658959244.5546381,25149,85.0
1658959921.3322752,26549,90.0
1658960211.2676735,27149,92.0
1658960379.0607708,27499,93.0
1658960408.8244898,27549,94.0
1658960477.600012,27699,94.0
1658960523.348565,27799,94.0
1658960766.681642,28299,96.0
1658960967.530411,28713,97.0
1658961859.437815,30549,104.0
1658962028.0644608,30899,105.0
1658962196.3370721,31249,106.0
1658962654.7193363,32199,109.0
1658962730.495837,32349,110.0
1658962922.282953,32749,111.0
1658962998.4033258,32899,112.0
1658963044.6395757,32999,112.0
1658963334.6664815,33599,114.0
1658963381.3140428,33694,114.0
1658963479.3142292,33899,115.0
1658963522.7392793,33987,115.0
1658963677.4280427,34299,117.0
1658963806.816294,34573,117.0
1658963822.4496434,34599,118.0
1658964378.5804377,35749,122.0
1658965854.3855088,38799,132.0
1658965900.3031673,38899,132.0
1658966578.837511,40299,137.0
1658966643.747403,40433,137.0
1658966992.048157,41149,140.0
1658967183.6125286,41549,141.0
1658967206.307831,41599,141.0
1658967329.3844116,41849,142.0
1658967355.3907847,41898,142.0
1658967452.2921324,42099,143.0
1658967818.0761914,42849,146.0
1658967887.0762124,42999,146.0
1658968065.0414758,43363,147.0
1658969079.3036933,45449,155.0
1658969148.5949035,45599,155.0
1658969270.687714,45849,156.0
1658969392.4126525,46099,157.0
1658969491.2410374,46299,158.0
1658969704.8273094,46749,159.0
1658969826.7159119,46999,160.0
1658969926.2583568,47199,161.0
1658971010.2252753,49449,168.0
1658971109.2500782,49649,169.0
