Step,Value
96249,64.0
96549,64.0
96749,64.0
96849,64.0
96949,64.0
97249,64.0
97399,64.0
97499,64.0
97649,64.0
97799,64.0
97949,64.0
98399,64.0
98499,64.0
99099,64.0
99149,64.0
99199,64.0
99899,64.0
100099,64.0
100299,64.0
100499,64.0
100549,64.0
100699,64.0
100799,64.0
100899,64.0
101299,64.0
101399,64.0
101549,64.0
101699,64.0
101849,64.0
101949,64.0
102099,64.0
102249,64.0
102299,64.0
103049,64.0
103399,64.0
103649,64.0
103699,64.0
103749,64.0
103849,64.0
103899,64.0
103999,64.0
104099,64.0
104299,64.0
104499,64.0
104749,64.0
104849,64.0
105199,64.0
105299,64.0
105349,64.0
105499,64.0
105599,64.0
105799,64.0
105949,64.0
106049,64.0
106149,64.0
106199,64.0
106699,64.0
106749,64.0
106949,64.0
107099,64.0
107249,64.0
107299,64.0
107449,64.0
107499,64.0
107599,64.0
107849,64.0
107899,64.0
108249,64.0
108299,64.0
108499,64.0
108599,64.0
108699,64.0
108899,64.0
109399,64.0
109499,64.0
109599,64.0
109649,64.0
109849,64.0
109999,64.0
110399,64.0
110599,64.0
110749,64.0
111299,64.0
111499,64.0
111599,64.0
111749,64.0
111849,64.0
111899,64.0
111999,64.0
112099,64.0
112149,64.0
112249,64.0
112349,64.0
112399,64.0
112599,64.0
112649,64.0
112749,64.0
112899,64.0
113149,64.0
113749,64.0
113949,64.0
114099,64.0
114599,64.0
114899,64.0
114949,64.0
115049,64.0
115199,64.0
115349,64.0
115399,64.0
115449,64.0
115949,64.0
115999,64.0
116049,64.0
116149,64.0
116749,64.0
116799,64.0
116849,64.0
116899,64.0
117299,64.0
117749,64.0
117999,64.0
118599,64.0
119299,64.0
119449,64.0
119499,64.0
119549,64.0
119649,64.0
120049,64.0
120149,64.0
120249,64.0
120349,64.0
120849,64.0
121249,64.0
121299,64.0
121549,64.0
121849,64.0
122249,64.0
122549,64.0
122599,64.0
122699,64.0
122799,64.0
123049,64.0
123999,64.0
124099,64.0
124299,64.0
124349,64.0
124849,64.0
124949,64.0
125099,64.0
125149,64.0
125199,64.0
125699,64.0
125749,64.0
125899,64.0
125999,64.0
126199,64.0
126299,64.0
126449,64.0
126549,64.0
126649,64.0
126749,64.0
127199,64.0
127399,64.0
127599,64.0
127699,64.0
127849,64.0
127999,64.0
128299,64.0
128349,64.0
128549,64.0
128699,64.0
128849,64.0
128949,64.0
129399,64.0
129549,64.0
129599,64.0
129649,64.0
129699,64.0
129849,64.0
130049,64.0
130349,64.0
130399,64.0
130549,64.0
130949,64.0
131199,64.0
131349,64.0
131499,64.0
131549,64.0
131649,64.0
131799,64.0
131849,64.0
131949,64.0
132249,64.0
132399,64.0
132549,64.0
132599,64.0
132799,64.0
133099,64.0
133749,64.0
133949,64.0
134049,64.0
134299,64.0
134549,64.0
134999,64.0
135199,64.0
135399,64.0
135549,64.0
136299,64.0
136799,64.0
136849,64.0
136899,64.0
137049,64.0
137349,64.0
137649,64.0
137699,64.0
137749,64.0
137799,64.0
137849,64.0
137899,64.0
137949,64.0
138349,64.0
139499,64.0
139549,64.0
139599,64.0
139949,64.0
140499,64.0
140599,64.0
140799,64.0
141199,64.0
141249,64.0
141399,64.0
141499,64.0
141549,64.0
141649,64.0
142599,64.0
142849,64.0
142999,64.0
143149,64.0
143599,64.0
143649,64.0
143949,64.0
144049,64.0
144099,64.0
144399,64.0
144549,64.0
144599,64.0
144849,64.0
144949,64.0
145049,64.0
145199,64.0
145249,64.0
145649,64.0
145899,64.0
145999,64.0
146049,64.0
146099,64.0
146649,64.0
147149,64.0
147549,64.0
148399,64.0
148649,64.0
148749,64.0
148799,64.0
148949,64.0
149449,64.0
149749,64.0
149949,64.0
150199,64.0
150299,64.0
150399,64.0
150499,64.0
150599,64.0
150799,64.0
150849,64.0
150999,64.0
151049,64.0
151099,64.0
151299,64.0
151399,64.0
151549,64.0
151599,64.0
151699,64.0
151949,64.0
152049,64.0
152099,64.0
152149,64.0
152449,64.0
152549,64.0
152699,64.0
153149,64.0
153299,64.0
153399,64.0
153499,64.0
153599,64.0
153699,64.0
154149,64.0
154349,64.0
154449,64.0
154599,64.0
154999,64.0
155199,64.0
155399,64.0
155699,64.0
156049,64.0
156149,64.0
156399,64.0
156749,64.0
156899,64.0
156949,64.0
157199,64.0
157249,64.0
157299,64.0
157399,64.0
157549,64.0
157799,64.0
157949,64.0
157999,64.0
158099,64.0
158399,64.0
158899,64.0
159249,64.0
159399,64.0
159449,64.0
159799,64.0
159849,64.0
159899,64.0
159949,64.0
160199,64.0
160349,64.0
161549,64.0
161699,64.0
161799,64.0
162049,64.0
162199,64.0
162249,64.0
162349,64.0
162399,64.0
162749,64.0
162849,64.0
162949,64.0
163399,64.0
163649,64.0
163699,64.0
163999,64.0
164099,64.0
164199,64.0
164299,64.0
164499,64.0
164649,64.0
164849,64.0
165299,64.0
165349,64.0
165399,64.0
165699,64.0
166099,64.0
166299,64.0
166399,64.0
166449,64.0
166499,64.0
166699,64.0
166949,64.0
167299,64.0
167699,64.0
167899,64.0
168099,64.0
168199,64.0
168499,64.0
168649,64.0
168749,64.0
168849,64.0
168949,64.0
169099,64.0
169199,64.0
169349,64.0
169549,64.0
169949,64.0
170199,64.0
170249,64.0
170449,64.0
170799,64.0
171349,64.0
171499,64.0
171549,64.0
171699,64.0
171949,64.0
172249,64.0
172299,64.0
172499,64.0
172599,64.0
172899,64.0
172949,64.0
173049,64.0
173249,64.0
173599,64.0
173899,64.0
174049,64.0
174349,64.0
174749,64.0
174899,64.0
174999,64.0
175049,64.0
175299,64.0
175349,64.0
175499,64.0
175599,64.0
175649,64.0
175749,64.0
175999,64.0
176499,64.0
176799,64.0
176899,64.0
176949,64.0
177149,64.0
177199,64.0
177399,64.0
177499,64.0
177799,64.0
177849,64.0
177999,64.0
178199,64.0
178799,64.0
179049,64.0
179099,64.0
179199,64.0
179649,64.0
179699,64.0
179999,64.0
180049,64.0
180749,64.0
180949,64.0
181049,64.0
181149,64.0
181299,64.0
181449,64.0
181899,64.0
182199,64.0
182299,64.0
182849,64.0
182899,64.0
183199,64.0
183549,64.0
184749,64.0
184799,64.0
184899,64.0
185049,64.0
185149,64.0
186199,64.0
186349,64.0
186549,64.0
186599,64.0
186649,64.0
186749,64.0
186949,64.0
187099,64.0
187199,64.0
187299,64.0
187649,64.0
187849,64.0
187999,64.0
188249,64.0
188649,64.0
188849,64.0
188949,64.0
189049,64.0
189099,64.0
189399,64.0
189599,64.0
189699,64.0
189799,64.0
189949,64.0
190399,64.0
190499,64.0
190549,64.0
190749,64.0
190999,64.0
191099,64.0
191599,64.0
191699,64.0
191799,64.0
192449,64.0
192649,64.0
192749,64.0
193249,64.0
193499,64.0
193849,64.0
193999,64.0
194099,64.0
194399,64.0
195099,64.0
195149,64.0
195199,64.0
195299,64.0
195449,64.0
195549,64.0
195849,64.0
196049,64.0
196099,64.0
196399,64.0
196449,64.0
196499,64.0
196749,64.0
196799,64.0
196999,64.0
197549,64.0
197849,64.0
198049,64.0
198149,64.0
198299,64.0
198399,64.0
198699,64.0
198849,64.0
199049,64.0
199249,64.0
199349,64.0
199499,64.0
199599,64.0
199799,64.0
199899,64.0
200049,64.0
200299,64.0
200499,64.0
200549,64.0
200649,64.0
201099,64.0
201149,64.0
201699,64.0
201799,64.0
201849,64.0
202199,64.0
202299,64.0
202349,64.0
202399,64.0
202449,64.0
202649,64.0
202749,64.0
203849,64.0
203999,64.0
204449,64.0
204599,64.0
204699,64.0
204899,64.0
204949,64.0
204999,64.0
205099,64.0
206048,56.0
207248,56.0
207398,56.0
207948,56.0
208698,56.0
209848,56.0
212898,56.0
213048,56.0
213498,56.0
216598,56.0
216848,56.0
217898,56.0
218498,56.0
218798,56.0
220548,56.0
220648,56.0
221048,56.0
222498,56.0
223498,56.0
226198,56.0
227248,56.0
228148,56.0
228848,56.0
231948,56.0
233298,56.0
234098,56.0
234448,55.0
234498,55.0
236148,55.0
236848,55.0
237498,55.0
238198,55.0
238698,55.0
240848,55.0
241248,55.0
241648,55.0
243398,55.0
243598,55.0
243698,55.0
244398,55.0
244498,55.0
244848,55.0
245248,55.0
245548,55.0
246948,55.0
252398,55.0
253248,55.0
253698,55.0
253748,55.0
254048,55.0
254348,55.0
255248,55.0
255398,55.0
255848,55.0
258298,55.0
258448,55.0
258748,55.0
259048,55.0
259798,55.0
260098,55.0
260348,55.0
262948,55.0
263198,55.0
263248,55.0
264148,54.0
264798,54.0
267348,54.0
268198,54.0
270948,54.0
271098,54.0
271798,54.0
271998,54.0
274398,54.0
274748,54.0
275848,54.0
276448,54.0
276948,54.0
278448,54.0
278998,54.0
279398,54.0
279698,54.0
281298,54.0
282748,54.0
283548,54.0
284348,54.0
284548,54.0
285398,54.0
287148,54.0
289248,54.0
289698,54.0
290248,54.0
290598,54.0
291048,54.0
291748,54.0
291848,54.0
291998,54.0
294198,53.0
296448,53.0
297348,53.0
297798,53.0
298448,53.0
298598,53.0
298998,53.0
300998,53.0
301848,53.0
302348,53.0
302498,53.0
303498,53.0
305198,53.0
305798,53.0
306948,53.0
308798,53.0
308948,53.0
308998,53.0
309398,53.0
309598,53.0
309948,53.0
312598,53.0
312948,53.0
313398,53.0
314498,53.0
314698,53.0
315098,53.0
315498,53.0
315698,53.0
316698,53.0
316948,53.0
316998,53.0
317248,53.0
317998,53.0
318248,53.0
319198,53.0
319998,53.0
320498,53.0
321098,53.0
322398,52.0
322848,52.0
324598,52.0
324648,52.0
324748,52.0
326948,52.0
327348,52.0
327798,52.0
327898,52.0
328148,52.0
329398,52.0
329448,52.0
329948,52.0
330048,52.0
330298,52.0
330998,52.0
331298,52.0
331748,52.0
332498,52.0
332798,52.0
335448,52.0
339398,52.0
339648,52.0
340298,52.0
342148,52.0
342848,52.0
344598,52.0
348748,52.0
349948,52.0
351148,52.0
353498,51.0
353898,51.0
355698,51.0
356648,51.0
357048,51.0
357198,51.0
360098,51.0
363198,51.0
363998,51.0
364898,51.0
364948,51.0
366648,51.0
367148,51.0
367298,51.0
367348,51.0
367448,51.0
367498,51.0
368748,51.0
370398,51.0
372398,51.0
373948,51.0
375298,51.0
375548,51.0
376648,51.0
377598,51.0
378348,51.0
379148,51.0
380598,51.0
380748,50.0
381998,50.0
385148,50.0
386048,50.0
386148,50.0
386248,50.0
386548,50.0
387948,50.0
388648,50.0
391448,50.0
391648,50.0
392198,50.0
394798,50.0
395848,50.0
396098,50.0
396198,50.0
396698,50.0
398348,50.0
398948,50.0
401548,50.0
