Wall time,Step,Value
1658947532.603053,949,31.0
1658948113.3213058,2149,31.0
1658948182.220481,2299,31.0
1658948449.6234605,2849,31.0
1658948816.3821535,3599,31.0
1658948885.2449512,3749,31.0
1658949372.6563132,4749,31.0
1658950847.0285733,7799,31.0
1658950922.8904297,7949,31.0
1658951136.7417934,8399,31.0
1658951525.340591,9199,31.0
1658952638.4880698,11499,31.0
1658952760.248468,11749,31.0
1658953265.2283995,12799,31.0
1658953387.9785624,13049,31.0
1658953555.4376657,13399,31.0
1658953700.6154149,13699,31.0
1658954552.8569634,15449,31.0
1658954605.6390452,15549,31.0
1658954797.0188959,15949,31.0
1658955308.5002472,16999,31.0
1658955499.4274843,17399,31.0
1658955979.745027,18399,31.0
1658957290.9808092,21099,31.0
1658957313.918068,21149,31.0
1658957796.205431,22149,31.0
1658957871.769736,22299,31.0
1658958230.6477044,23049,31.0
1658958306.6594107,23199,31.0
1658958329.8313468,23249,31.0
1658958573.387667,23749,31.0
1658959031.4434333,24699,31.0
1658959534.049826,25749,31.0
1658960066.7327175,26849,31.0
1658960720.723413,28199,31.0
1658961102.989134,28999,31.0
1658961279.644265,29349,30.0
1658961302.7085822,29399,30.0
1658962097.0959332,31049,30.0
1658962440.5432568,31749,30.0
1658962608.6910982,32099,30.0
1658962631.7305408,32149,30.0
1658962684.4760938,32249,30.0
1658962753.5090232,32399,30.0
1658962799.3633893,32499,30.0
1658963090.809044,33099,30.0
1658963334.666451,33599,30.0
1658964378.5804098,35749,30.0
1658964569.4810946,36149,30.0
1658964761.046158,36549,30.0
1658965297.2094188,37649,30.0
1658965395.9404745,37849,30.0
1658965610.0013516,38299,30.0
1658965708.8208,38499,30.0
1658965755.4996796,38599,30.0
1658966097.739462,39299,30.0
1658966143.9784002,39399,30.0
1658966265.5182207,39649,30.0
1658966311.7335496,39749,30.0
1658966509.231303,40149,30.0
1658966654.883265,40449,30.0
1658966677.887309,40499,30.0
1658967236.6227317,41649,30.0
1658967329.3843274,41849,30.0
1658968446.0874293,44149,30.0
1658969049.3355281,45399,30.0
1658969102.351926,45499,30.0
1658969293.5649662,45899,30.0
1658969895.9289405,47149,30.0
1658969972.5946672,47299,30.0
1658970385.15051,48149,30.0
1658970598.7282057,48599,30.0
1658970628.5355256,48649,30.0
1658970773.0171363,48949,30.0
1658970796.1044567,48999,30.0
1658970918.1011512,49249,30.0
1658971353.6347816,50149,30.0
1658971422.92085,50299,30.0
1658971644.026641,50749,30.0
1658972827.8942866,53199,30.0
1658972903.9116585,53349,30.0
1658973048.849829,53649,30.0
1658973193.7124233,53949,30.0
1658973308.8725276,54199,30.0
1658973553.1801596,54699,30.0
1658973698.6029394,54999,30.0
1658973820.7229493,55249,30.0
1658974064.9020717,55749,30.0
1658975080.0161219,57849,30.0
1658975201.9893634,58099,30.0
1658975225.0924506,58149,30.0
1658975661.596384,59049,29.0
1658975974.6974492,59699,29.0
1658976286.3759103,60349,29.0
1658977209.6936767,62249,29.0
1658977546.2707677,62949,29.0
1658977622.2613192,63099,29.0
1658978103.9356813,64099,29.0
1658978249.1662555,64399,29.0
1658978416.9619946,64749,29.0
1658978952.8331141,65849,29.0
1658979030.4103894,65999,29.0
1658979298.006839,66549,29.0
1658979367.3356342,66699,29.0
1658979443.337745,66849,29.0
1658979466.4446318,66899,29.0
1658980628.8496969,69299,29.0
1658980773.8627806,69599,29.0
1658980796.8424075,69649,29.0
1658981332.3315291,70749,29.0
1658981622.512382,71349,29.0
1658981866.160892,71849,29.0
1658982592.4685628,73349,29.0
1658982860.0318563,73899,29.0
1658983051.3656316,74299,29.0
1658983196.4405682,74599,29.0
1658983974.883958,76199,29.0
1658984067.7143734,76399,29.0
1658984678.6188664,77649,29.0
1658985061.5513778,78449,29.0
1658985084.573478,78499,29.0
1658985451.76352,79249,29.0
1658985550.81922,79449,29.0
1658985962.6775808,80299,29.0
1658986811.1029007,82049,29.0
1658987002.5197206,82449,29.0
1658987483.2486503,83449,29.0
1658987826.4164796,84149,29.0
1658988040.2134185,84599,29.0
1658988139.7576842,84799,29.0
1658988186.2509046,84899,29.0
1658988239.0230656,84999,29.0
1658988308.291288,85149,29.0
1658988476.1407223,85499,29.0
1658988697.282316,85949,29.0
1658989032.9881642,86649,29.0
1658989085.8044627,86749,29.0
1658989155.0935118,86899,29.0
1658989277.6178093,87149,29.0
1658989346.7622795,87299,29.0
1658989376.7771401,87349,29.0
1658989859.202438,88349,28.0
1658990080.1521683,88799,28.0
1658990225.1065273,89099,28.0
1658990416.550857,89499,28.0
1658990630.0329094,89949,28.0
1658990804.5609484,90299,28.0
1658991308.8432565,91349,28.0
1658991651.9160616,92049,28.0
1658991744.4696076,92249,28.0
1658991965.409999,92699,28.0
1658992278.835194,93349,28.0
1658992355.347299,93499,28.0
1658992500.2165403,93799,28.0
1658992546.0331461,93899,28.0
1658993517.4219708,95899,28.0
1658993930.7937844,96749,28.0
1658994167.3674605,97249,28.0
1658994243.2397904,97399,28.0
1658994724.6598337,98399,28.0
1658995066.8785167,99099,28.0
1658995113.0574963,99199,28.0
1658995547.9081044,100099,28.0
1658995646.9254344,100299,28.0
1658995838.6834981,100699,28.0
1658996251.6751623,101549,28.0
1658996396.7059102,101849,28.0
1658996978.5758908,103049,28.0
1658997291.129048,103699,28.0
1658997367.157943,103849,28.0
1658997390.1670616,103899,28.0
1658997489.1386425,104099,28.0
1658997581.002291,104299,28.0
1658997680.3374634,104499,28.0
1658997847.9551332,104849,28.0
1658998215.3007073,105599,28.0
1658999042.1734672,107299,28.0
1658999134.3365521,107499,28.0
1658999309.624719,107849,28.0
1658999523.5608854,108299,28.0
1659000059.0701928,109399,28.0
1659000105.1180935,109499,28.0
1659000157.7100377,109599,28.0
1659000350.2590673,109999,28.0
1659000540.7407808,110399,28.0
1659000639.4987967,110599,28.0
1659001122.3764794,111599,28.0
1659001244.573941,111849,28.0
1659001267.4770117,111899,28.0
1659001320.3636618,111999,28.0
1659001389.3098445,112149,28.0
1659001678.9039202,112749,28.0
1659001755.6488128,112899,28.0
1659001878.7526484,113149,28.0
1659002356.289594,114099,28.0
1659002615.202662,114599,28.0
1659002767.106409,114899,28.0
1659002924.9089575,115199,28.0
1659003042.0600812,115399,28.0
1659003365.211894,115999,28.0
1659004017.487259,117299,27.0
1659004250.7395139,117749,27.0
1659005878.7911425,119499,27.0
