Wall time,Step,Value
1658844933.62021,299,6047.2529296875
1658845169.5770469,799,6141.564453125
1658845245.1689816,949,6818.7001953125
1658845391.0978887,1249,6524.7568359375
1658845680.9453022,1849,4871.24267578125
1658845771.138179,2049,5675.43603515625
1658845823.6231704,2149,5778.0322265625
1658845869.279306,2249,5681.2578125
1658845891.8650663,2299,6199.2978515625
1658845944.2139325,2399,5959.904296875
1658846087.5974965,2699,5490.61328125
1658846110.533371,2749,5681.470703125
1658846133.4193661,2799,6338.65185546875
1658846156.3158553,2849,5644.3193359375
1658846376.0275593,3299,5731.78955078125
1658846520.200222,3599,5514.623046875
1658846543.2817605,3649,5583.439453125
1658846566.3898544,3699,6034.11767578125
1658846589.3070273,3749,5875.42431640625
1658846710.6987336,3999,5967.5986328125
1658846907.5597131,4399,6418.40869140625
1658847075.2600596,4749,6066.79443359375
1658847265.941029,5149,5555.3916015625
1658847342.0205116,5299,5906.2158203125
1658847364.8760974,5349,6480.8759765625
1658847532.126455,5699,5801.576171875
1658847653.5204682,5949,6376.33154296875
1658847843.8784616,6349,5673.56005859375
1658847920.6901882,6499,5790.66064453125
1658847943.68013,6549,5726.55224609375
1658848157.0850222,6999,5569.96533203125
1658848209.770917,7099,5916.109375
1658848232.5548685,7149,6533.552734375
1658848422.5109808,7549,5532.26904296875
1658848544.2296588,7799,6233.0849609375
1658848589.7472434,7899,5829.1416015625
1658848619.7710137,7949,6012.12060546875
1658848712.0829208,8149,5805.01123046875
1658848834.1663332,8399,5043.94970703125
1658848857.1375656,8449,6210.115234375
1658848932.4808905,8599,5605.25
1658849076.8428872,8899,6090.3662109375
1658849099.7759888,8949,6584.755859375
1658849221.9744482,9199,5984.751953125
1658849267.7001708,9299,6719.27490234375
1658849290.6114109,9349,5574.5517578125
1658849389.3665645,9549,5535.19580078125
1658849412.3029597,9599,6070.9873046875
1658849579.7467,9949,6276.5625
1658849779.5759296,10349,7047.70703125
1658849802.242924,10399,5637.1474609375
1658849824.991288,10449,6118.98291015625
1658849924.1993203,10649,5478.6220703125
1658850190.7588913,11199,6520.7109375
1658850334.0943754,11499,6468.45947265625
1658850455.5157566,11749,5846.939453125
1658850524.5280685,11899,5795.029296875
1658850813.4145784,12499,5540.36572265625
1658850957.332927,12799,5419.177734375
1658851079.1392481,13049,6854.66064453125
1658851102.0596905,13099,6005.2236328125
1658851154.8598218,13199,6711.263671875
1658851246.808629,13399,5902.939453125
1658851345.6306353,13599,5864.111328125
1658851391.7816484,13699,6139.74951171875
1658851513.5889676,13949,6540.95703125
1658851848.2970114,14649,6060.3984375
1658851971.5713623,14899,5727.1494140625
1658852001.4695415,14949,6323.75732421875
1658852093.1364048,15149,5410.2734375
1658852116.2802382,15199,6026.0595703125
1658852214.708163,15399,5748.173828125
1658852237.636203,15449,5328.24755859375
1658852290.4618502,15549,6312.228515625
1658852481.6894445,15949,6115.35302734375
1658852504.6260557,15999,5970.16259765625
1658852651.436346,16299,6819.9833984375
1658852674.2801466,16349,4954.431640625
1658852696.6209176,16399,5666.908203125
1658852773.3780484,16549,5620.6982421875
1658852993.7083309,16999,5846.029296875
1658853184.6972532,17399,5274.099609375
1658853571.6680179,18199,5931.0673828125
1658853662.8324246,18399,6295.30078125
1658853806.8196716,18699,4781.87158203125
1658853903.8572807,18899,5507.9814453125
1658853948.6655543,18999,5691.7529296875
1658854123.014715,19349,5642.0546875
1658854237.883737,19599,6452.80615234375
1658854267.9297817,19649,4969.1689453125
1658854648.8242176,20449,5699.533203125
1658854967.955538,21099,4838.67822265625
1658854991.0328505,21149,5256.45849609375
1658855036.9046366,21249,5658.5556640625
1658855181.4892993,21549,7432.95654296875
1658855403.579084,21999,5472.15869140625
1658855449.4424427,22099,5844.0498046875
1658855472.3909774,22149,6638.126953125
1658855548.338088,22299,7000.88720703125
1658855692.8935518,22599,6437.224609375
1658855906.198136,23049,5296.38427734375
1658855981.9746733,23199,5615.326171875
1658856005.0104861,23249,5747.5869140625
1658856218.4735363,23699,6389.8349609375
1658856248.4985335,23749,5544.1572265625
1658856583.8004122,24449,5802.3408203125
1658856606.6819043,24499,6309.9716796875
1658856652.2362719,24599,5785.66162109375
1658856705.2010813,24699,6006.67919921875
1658857039.0365477,25399,5847.4638671875
1658857160.3820796,25649,5886.6787109375
1658857206.2390206,25749,6791.0712890625
1658857281.905855,25899,6053.779296875
1658857472.8565686,26299,5440.1806640625
1658857616.7790298,26599,5497.58544921875
1658857669.3974385,26699,5971.96337890625
1658857737.3287268,26849,5935.38330078125
1658857882.457353,27149,5800.5205078125
1658858003.61114,27399,6297.5771484375
1658858026.6065788,27449,5881.4638671875
1658858246.7786586,27899,6174.59375
1658858292.195634,27999,5526.69873046875
1658858389.899522,28199,6016.3984375
1658858412.7694552,28249,5352.05810546875
1658858533.993343,28499,6150.537109375
1658858624.4079142,28699,5707.1142578125
1658858655.1928742,28749,5815.376953125
1658858768.7951694,28999,6122.9501953125
1658858822.9622464,29099,7021.6630859375
1658858845.6081674,29149,5646.00927734375
1658858890.8364182,29249,6821.84228515625
1658858945.0216398,29349,6696.3134765625
1658858967.6258252,29399,7551.7236328125
1658859088.7759085,29649,6151.58935546875
1658859111.55875,29699,7854.3115234375
1658859278.9680974,30049,6744.4091796875
1658859324.7356293,30149,7256.5341796875
1658859468.7504969,30449,7214.81396484375
1658859522.141393,30549,7751.3623046875
1658859643.8209672,30799,7132.40380859375
1658859758.3878174,31049,6554.45849609375
1658859811.7822015,31149,6739.859375
