Wall time,Step,Value
1657730373.1254146,292,0.0
1657730637.1740165,849,2.0
1657730758.0847025,1099,3.0
1657731074.6503692,1757,5.0
1657731121.5355647,1849,6.0
1657731189.3165445,1999,6.0
1657731215.4775212,2050,6.0
1657731356.5003502,2343,7.0
1657731409.5100405,2449,8.0
1657731718.8351426,3099,10.0
1657731763.9536068,3199,10.0
1657731777.4240866,3222,10.0
1657731885.4187958,3449,11.0
1657732051.6624784,3799,12.0
1657732194.4436553,4099,13.0
1657732346.2562833,4399,15.0
1657732414.1772265,4549,15.0
1657732436.9862757,4599,15.0
1657732580.5927052,4899,16.0
1657732679.1057687,5099,17.0
1657732844.6568496,5449,18.0
1657733109.8637092,5999,20.0
1657733328.2100127,6449,22.0
1657733440.573281,6699,22.0
1657733493.356981,6799,23.0
1657733680.2035491,7199,24.0
1657733702.730562,7249,24.0
1657733897.8563461,7649,26.0
1657734010.5024,7899,26.0
1657734041.3030052,7949,27.0
1657734063.9123607,7999,27.0
1657734153.3510604,8199,27.0
1657734304.085682,8499,29.0
1657734469.2560282,8849,30.0
1657734491.8427877,8899,30.0
1657734589.029886,9099,31.0
1657734821.1989443,9599,32.0
1657734941.1254084,9849,33.0
1657735039.4625893,10049,34.0
1657735107.1522465,10199,34.0
1657735348.8590996,10699,36.0
1657735468.413064,10949,37.0
1657735566.6792223,11149,38.0
1657735634.5020006,11299,38.0
1657735709.1653013,11449,39.0
1657735799.2838607,11649,39.0
1657735833.970672,11719,39.0
1657736225.4167027,12549,42.0
1657736322.430024,12749,43.0
1657736345.1735883,12799,43.0
1657736442.4030855,12999,44.0
1657736539.664917,13199,45.0
1657736585.070122,13299,45.0
1657736751.5923839,13649,46.0
1657736774.109113,13699,46.0
1657736916.3450117,13999,47.0
1657736990.6290572,14149,48.0
1657737178.5983706,14549,49.0
1657737343.6812685,14899,50.0
1657737658.566128,15549,53.0
1657737748.993162,15749,53.0
1657737869.0754662,15999,54.0
1657737943.453199,16149,55.0
1657737988.6089172,16249,55.0
1657738252.8791375,16799,57.0
1657738583.3707051,17499,59.0
1657738845.0353904,18049,61.0
1657738867.480729,18099,61.0
1657738900.3521698,18165,61.0
1657739032.1350021,18449,62.0
1657739205.6415071,18799,64.0
1657739250.9778316,18899,64.0
1657739273.6840515,18949,64.0
1657739325.8236926,19049,65.0
1657739458.9934566,19337,65.0
1657739632.9253542,19699,67.0
1657739700.6660686,19849,67.0
1657739723.254804,19899,67.0
1657739917.329645,20299,69.0
1657740270.6799288,21049,71.0
1657740300.4709902,21099,72.0
1657740587.9301527,21699,74.0
1657740701.1056917,21949,74.0
1657740730.4651225,21999,75.0
1657740798.4014096,22149,75.0
1657740962.8503306,22499,76.0
1657741082.4117756,22749,77.0
1657741127.1628907,22849,77.0
1657741179.3692293,22949,78.0
1657741298.179822,23199,79.0
1657741409.9256113,23439,79.0
1657741606.6378684,23849,81.0
1657741726.3473027,24099,82.0
1657741846.2069912,24349,83.0
1657741936.8042598,24549,83.0
1657742057.7117088,24799,84.0
1657742102.6590157,24899,84.0
1657742108.3315217,24904,84.0
1657742154.90658,24999,85.0
1657742200.3549516,25099,85.0
1657742222.9857042,25149,85.0
1657742320.8121011,25349,86.0
1657742343.3954275,25399,86.0
1657742527.1256554,25783,87.0
1657742652.3619428,26049,88.0
1657742681.7825522,26099,89.0
1657742794.8273935,26349,89.0
1657742892.395555,26549,90.0
1657742937.3699527,26649,90.0
1657743177.8860672,27149,92.0
1657743319.8801343,27449,93.0
1657743342.423402,27499,93.0
1657743371.7335744,27549,94.0
1657743416.8401659,27649,94.0
1657743439.4899209,27699,94.0
1657743484.6497304,27799,94.0
1657743725.254024,28299,96.0
1657743783.331098,28420,96.0
1657743867.779297,28599,97.0
1657743922.4916472,28713,97.0
1657743987.798052,28849,98.0
1657744061.7828217,29006,98.0
1657744084.9095135,29049,99.0
1657744175.4965005,29249,99.0
1657744273.5570252,29449,100.0
1657744296.206106,29499,100.0
1657744489.8655014,29899,102.0
1657744580.5715344,30099,102.0
1657744632.3310964,30199,103.0
1657744798.9833567,30549,104.0
1657744889.5186043,30749,104.0
1657744941.7466438,30849,105.0
1657744964.3825996,30899,105.0
1657744987.0592213,30949,105.0
1657745130.6554956,31249,106.0
1657745250.1544828,31499,107.0
1657745295.2563949,31599,107.0
1657745318.3158758,31643,107.0
1657745392.4345264,31799,108.0
1657745467.429067,31949,109.0
1657745535.3815389,32099,109.0
1657745558.1773086,32149,109.0
1657745580.978461,32199,109.0
1657745655.6298156,32349,110.0
1657745843.118082,32749,111.0
1657745918.002136,32899,112.0
1657745940.708776,32949,112.0
1657745963.4461503,32999,112.0
1657746008.6056345,33099,112.0
1657746016.0186956,33108,112.0
1657746150.6234233,33399,113.0
1657746225.3919446,33549,114.0
1657746247.8879015,33599,114.0
1657746294.174486,33694,114.0
1657746322.733551,33749,115.0
1657746390.69838,33899,115.0
1657746413.257154,33949,115.0
1657746433.5210106,33987,115.0
1657746442.3965437,33999,116.0
1657746510.4257817,34149,116.0
1657746586.2990184,34299,117.0
1657746699.325679,34549,117.0
1657746713.2401257,34573,117.0
1657746728.895699,34599,118.0
1657746852.6127205,34866,118.0
1657747202.6459723,35599,121.0
1657747276.8750641,35749,122.0
1657747322.132684,35849,122.0
1657747419.6065197,36049,123.0
1657747914.0320594,37099,126.0
1657747959.04546,37199,126.0
1657747967.3827183,37210,126.0
1657748056.7554362,37399,127.0
1657748101.6149828,37499,127.0
1657748176.4470205,37649,128.0
