Wall time,Step,Value
1658947532.6029377,949,11372.08984375
1658948113.3212414,2149,8848.111328125
1658948182.220424,2299,9235.626953125
1658948449.6233947,2849,9163.3203125
1658948816.3820603,3599,7813.896484375
1658948885.244878,3749,9367.2158203125
1658949372.656247,4749,9277.375
1658950847.0285041,7799,9205.19921875
1658950922.8903341,7949,9482.8291015625
1658951136.7417235,8399,7868.5537109375
1658951525.3404956,9199,9236.330078125
1658952638.487972,11499,10551.6123046875
1658952760.2483346,11749,9250.060546875
1658953265.2283025,12799,8279.759765625
1658953387.9784942,13049,10698.83203125
1658953555.4376035,13399,9515.1875
1658953700.6153526,13699,9044.2138671875
1658954552.8569005,15449,7875.5546875
1658954605.638973,15549,9059.16796875
1658954797.0188265,15949,9027.046875
1658955308.5001504,16999,8419.06640625
1658955499.427388,17399,8174.6337890625
1658955979.7449589,18399,9268.755859375
1658957290.9807012,21099,6984.82568359375
1658957313.917995,21149,8193.5185546875
1658957796.2053638,22149,10506.068359375
1658957871.769664,22299,10608.0146484375
1658958230.6476436,23049,8655.4501953125
1658958306.6593423,23199,8462.2890625
1658958329.831281,23249,8530.833984375
1658958573.387579,23749,8499.3740234375
1658959031.4433393,24699,9633.96484375
1658959534.0497625,25749,10444.884765625
1658960066.7326496,26849,8988.4462890625
1658960720.7233493,28199,9059.10546875
1658961102.9890676,28999,10241.724609375
1658961279.6442006,29349,9782.8671875
1658961302.708523,29399,11755.2255859375
1658962097.095864,31049,10903.052734375
1658962440.543157,31749,10188.45703125
1658962608.6910193,32099,8625.0615234375
1658962631.730477,32149,9998.783203125
1658962684.4760065,32249,10645.35546875
1658962753.5089319,32399,11472.337890625
1658962799.36333,32499,10596.4560546875
1658963090.8089824,33099,10482.22265625
1658963334.666385,33599,10185.58984375
1658964378.580352,35749,9083.09375
1658964569.48098,36149,11977.32421875
1658964761.0460618,36549,9046.6015625
1658965297.2093565,37649,9389.6201171875
1658965395.9403875,37849,10139.5703125
1658965610.0012603,38299,11947.990234375
1658965708.820733,38499,11441.7177734375
1658965755.4996245,38599,10090.2373046875
1658966097.7393641,39299,9002.16796875
1658966143.978271,39399,10531.359375
1658966265.5181432,39649,8648.7939453125
1658966311.7334826,39749,9892.1494140625
1658966509.2312047,40149,10562.9228515625
1658966654.883191,40449,12422.39453125
1658966677.8872387,40499,9918.4013671875
1658967236.6226583,41649,9708.6552734375
1658967329.3842657,41849,8996.740234375
1658968446.0873735,44149,9339.578125
1658969049.3354664,45399,9365.2685546875
1658969102.351823,45499,7527.18359375
1658969293.564911,45899,11414.259765625
1658969895.9288814,47149,10864.8154296875
1658969972.5946045,47299,9705.75390625
1658970385.150443,48149,10407.3837890625
1658970598.7281396,48599,10091.587890625
1658970628.535406,48649,10127.826171875
1658970773.0169835,48949,9438.3935546875
1658970796.104393,48999,9508.802734375
1658970918.101088,49249,8949.037109375
1658971353.6347013,50149,8588.181640625
1658971422.9207914,50299,9614.53515625
1658971644.0265346,50749,9807.8310546875
1658972827.8941233,53199,10017.6953125
1658972903.9115596,53349,11183.708984375
1658973048.8497622,53649,10284.810546875
1658973193.7123566,53949,9779.171875
1658973308.872463,54199,10297.423828125
1658973553.1800892,54699,9872.359375
1658973698.6028697,54999,9111.919921875
1658973820.7228725,55249,9052.5625
1658974064.901984,55749,8806.2587890625
1658975080.0160518,57849,9278.1630859375
1658975201.989299,58099,8912.69140625
1658975225.09238,58149,10165.5390625
1658975661.5963187,59049,10727.001953125
1658975974.6973898,59699,11415.22265625
1658976286.3756747,60349,11203.041015625
1658977209.6936076,62249,10733.9619140625
1658977546.2707005,62949,11548.6171875
1658977622.2612388,63099,11557.6787109375
1658978103.935589,64099,11058.3125
1658978249.1661587,64399,12378.4453125
1658978416.9619339,64749,9941.3623046875
1658978952.833046,65849,10032.28125
1658979030.4102829,65999,10279.685546875
1658979298.006774,66549,11079.7177734375
1658979367.3355548,66699,10331.5400390625
1658979443.3376737,66849,10770.79296875
1658979466.4445379,66899,9150.7099609375
1658980628.8495939,69299,11240.2109375
1658980773.8626556,69599,12331.91796875
1658980796.8423467,69649,10256.8388671875
1658981332.331463,70749,11783.359375
1658981622.5122895,71349,11614.419921875
1658981866.1607764,71849,13432.4482421875
1658982592.4684696,73349,13545.0419921875
1658982860.0317762,73899,12806.3935546875
1658983051.3655694,74299,13275.71484375
1658983196.4405031,74599,12012.5341796875
1658983974.8838882,76199,9388.4580078125
1658984067.714315,76399,10158.1416015625
1658984678.6187923,77649,11846.205078125
1658985061.551286,78449,11825.703125
1658985084.5734105,78499,10143.05078125
1658985451.7634594,79249,9613.453125
1658985550.8191261,79449,11877.80859375
1658985962.6775098,80299,11293.4697265625
1658986811.1028037,82049,9121.302734375
1658987002.5196555,82449,13421.01171875
1658987483.2485943,83449,13111.10546875
1658987826.4163687,84149,9777.259765625
1658988040.2133617,84599,11752.29296875
1658988139.7575803,84799,9286.525390625
1658988186.2508414,84899,10953.017578125
1658988239.022986,84999,10390.8955078125
1658988308.2912269,85149,10279.5810546875
1658988476.1406348,85499,10478.0966796875
1658988697.2822556,85949,12356.794921875
1658989032.9881022,86649,12295.54296875
1658989085.8043704,86749,11199.0146484375
1658989155.0934124,86899,11909.064453125
1658989277.617727,87149,9424.236328125
1658989346.7622197,87299,13782.177734375
1658989376.7770696,87349,10336.806640625
1658989859.2023656,88349,13705.0693359375
1658990080.1520936,88799,14881.1005859375
1658990225.1064558,89099,12776.0244140625
1658990416.5507946,89499,11947.0712890625
1658990630.0328476,89949,11434.2509765625
1658990804.5608435,90299,15795.630859375
1658991308.8431869,91349,12848.1103515625
1658991651.915992,92049,14011.6552734375
1658991744.4695466,92249,11934.66015625
1658991965.4099085,92699,13457.9990234375
1658992278.8351252,93349,12260.689453125
1658992355.3471148,93499,12009.02734375
1658992500.216474,93799,11794.796875
1658992546.033083,93899,11685.51171875
1658993517.4218855,95899,10885.59375
1658993930.79371,96749,12114.8984375
1658994167.3673959,97249,15020.904296875
1658994243.2397015,97399,13737.8955078125
1658994724.6597755,98399,12744.9736328125
1658995066.8784332,99099,12661.8271484375
1658995113.0574365,99199,12077.880859375
1658995547.9080365,100099,11128.47265625
1658995646.9253583,100299,12214.7724609375
1658995838.6834273,100699,12662.556640625
1658996251.6750937,101549,14866.958984375
1658996396.7058437,101849,11583.7216796875
1658996978.5758207,103049,12906.4931640625
1658997291.1289835,103699,9836.52734375
1658997367.1578693,103849,11381.796875
