Wall time,Step,Value
1658232098.5848951,849,2.0
1658232584.6518807,1849,6.0
1658232652.61193,1999,6.0
1658233183.3451278,3099,10.0
1658233659.5388482,4099,13.0
1658234968.9264438,6799,23.0
1658235158.2407806,7199,24.0
1658236433.2277296,9849,33.0
1658236531.410072,10049,34.0
1658236964.1059787,10949,37.0
1658237332.5251865,11719,39.0
1658238050.0929444,13199,45.0
1658238095.4891465,13299,45.0
1658238261.3401103,13649,46.0
1658238862.6026714,14899,50.0
1658239270.9029577,15749,53.0
1658240375.4700203,18049,61.0
1658241169.9035118,19699,67.0
1658241457.1977224,20299,69.0
1658242732.954433,22949,78.0
1658243288.1489139,24099,82.0
1658243621.0019302,24799,84.0
1658243765.3638916,25099,85.0
1658243788.1138222,25149,85.0
1658244747.1684163,27149,92.0
1658245012.456803,27699,94.0
1658245301.1518047,28299,96.0
1658245500.0794477,28713,97.0
1658246383.7184162,30549,104.0
1658246550.6323779,30899,105.0
1658247437.165581,32749,111.0
1658247512.5146897,32899,112.0
1658247558.1454558,32999,112.0
1658247846.0114393,33599,114.0
1658247892.3549252,33694,114.0
1658248185.770403,34299,117.0
1658248313.9250417,34573,117.0
1658248881.9917102,35749,122.0
1658251126.4419746,40433,137.0
1658251658.9270554,41549,141.0
1658251681.1479955,41599,141.0
1658251802.6176147,41849,142.0
1658252286.4273534,42849,146.0
1658252354.4729435,42999,146.0
1658252530.3587146,43363,147.0
1658253533.5636342,45449,155.0
1658253601.6644013,45599,155.0
1658254153.0587676,46749,159.0
1658254274.068845,46999,160.0
1658254372.3563936,47199,161.0
1658255445.1240766,49449,168.0
1658255543.4524024,49649,169.0
1658255566.2580886,49699,169.0
1658255928.8291543,50449,172.0
1658256194.2368827,50999,174.0
1658257245.2602835,53199,181.0
1658257587.3742867,53911,183.0
1658258710.2325027,56255,191.0
1658258779.5665913,56399,192.0
1658259067.127203,56999,194.0
1658259142.1835833,57149,195.0
1658260126.4476137,59199,202.0
1658260270.3763647,59499,203.0
1658260724.061735,60449,206.0
1658260966.1070688,60949,208.0
1658261177.8557205,61399,209.0
1658261797.8910491,62699,213.0
1658262017.3907897,63149,215.0
1658262304.9232063,63749,217.0
1658262954.2334514,65099,222.0
1658263551.6014915,66349,226.0
1658263883.7935138,67049,228.0
1658264201.1832426,67699,231.0
1658264291.964802,67899,231.0
1658264631.982613,68599,234.0
1658265350.3752263,70099,239.0
1658266212.5842643,71899,245.0
1658266402.1307707,72299,246.0
1658266764.4523656,73049,249.0
1658266954.7940314,73449,250.0
1658267242.0296206,74049,252.0
1658267281.2465198,74128,252.0
1658267340.2941322,74249,253.0
1658268247.9711,76149,259.0
1658269160.4546454,78049,266.0
1658269526.3277757,78816,268.0
1658269711.9129062,79199,270.0
1658269976.5858965,79749,272.0
1658270044.8198652,79899,272.0
1658270210.7249877,80249,273.0
1658271028.222948,81949,279.0
1658271368.9708805,82649,282.0
1658271580.6485941,83099,283.0
1658271634.6832373,83211,283.0
1658272751.8819582,85549,291.0
