Step,Value
92199,314.0
92499,315.0
92549,315.0
92699,316.0
92799,316.0
92880,316.0
93049,317.0
93466,318.0
93549,319.0
93649,319.0
93699,319.0
93849,320.0
93999,320.0
94345,321.0
94499,322.0
95099,324.0
95249,325.0
95349,325.0
95549,326.0
95599,326.0
95699,326.0
95799,326.0
95810,326.0
95899,327.0
95999,327.0
96049,327.0
96349,328.0
96449,329.0
96689,329.0
97199,331.0
97349,332.0
97499,332.0
97899,334.0
98154,334.0
98199,335.0
98299,335.0
98447,335.0
98549,336.0
98599,336.0
98649,336.0
99049,338.0
99099,338.0
99149,338.0
99249,338.0
99749,340.0
99799,340.0
99849,340.0
99899,340.0
100205,341.0
100599,343.0
101349,345.0
101949,347.0
102099,348.0
102149,348.0
102249,348.0
102549,349.0
102649,350.0
102842,350.0
103249,352.0
103599,353.0
103649,353.0
104099,355.0
104449,356.0
104699,357.0
104749,357.0
104849,357.0
104899,358.0
105149,358.0
105949,361.0
106199,362.0
106249,362.0
106651,363.0
106749,364.0
106899,364.0
106944,364.0
106949,365.0
107399,366.0
107449,366.0
107549,367.0
107823,367.0
108049,368.0
108116,368.0
108199,369.0
108299,369.0
108699,370.0
108849,371.0
108999,372.0
109099,372.0
109249,372.0
109599,374.0
109649,374.0
109849,374.0
110099,375.0
110167,375.0
110699,377.0
110749,377.0
110753,377.0
110799,378.0
110949,378.0
111099,379.0
111349,380.0
111399,380.0
111549,380.0
111899,381.0
112099,382.0
112218,382.0
112349,383.0
112399,383.0
112649,384.0
112749,384.0
112999,385.0
113099,386.0
113249,386.0
113299,386.0
113449,387.0
114269,389.0
114449,390.0
114549,390.0
114749,391.0
114949,392.0
115499,394.0
115699,394.0
115799,395.0
116449,397.0
116906,398.0
116949,399.0
117099,399.0
117349,400.0
117649,401.0
117699,401.0
117749,401.0
117785,401.0
117799,402.0
117849,402.0
118199,403.0
119199,406.0
119249,406.0
119250,406.0
119549,408.0
120049,409.0
120129,409.0
120649,411.0
120699,411.0
120799,412.0
120899,412.0
120949,412.0
121008,412.0
121849,415.0
122049,416.0
122180,416.0
122299,417.0
122699,418.0
122749,418.0
122999,419.0
123059,419.0
123099,420.0
123352,420.0
123499,421.0
123549,421.0
123749,422.0
123849,422.0
123938,422.0
124049,423.0
124449,424.0
124649,425.0
124749,425.0
124799,425.0
124817,425.0
125299,427.0
125699,429.0
126049,430.0
126799,432.0
127099,433.0
127149,433.0
127249,434.0
127699,435.0
127949,436.0
128099,437.0
128333,437.0
128399,438.0
128499,438.0
128599,438.0
128649,439.0
128849,439.0
128899,439.0
128999,440.0
129249,441.0
129349,441.0
129499,441.0
129799,443.0
129899,443.0
129949,443.0
129999,443.0
130349,444.0
130970,446.0
131049,447.0
131149,447.0
131249,447.0
131299,448.0
131699,449.0
131849,449.0
132435,451.0
132599,452.0
133021,453.0
133399,455.0
134049,457.0
134099,457.0
134349,458.0
134399,458.0
134486,458.0
134599,459.0
134799,460.0
134949,460.0
134999,460.0
135072,460.0
135749,463.0
136049,464.0
136244,464.0
136537,465.0
136549,466.0
136849,467.0
136999,467.0
138002,470.0
138149,471.0
138449,472.0
138588,472.0
138599,473.0
138699,473.0
138749,473.0
139049,474.0
139149,474.0
139599,476.0
139799,477.0
140199,478.0
140299,478.0
140349,479.0
140549,479.0
140649,480.0
141225,481.0
141249,482.0
141299,482.0
141549,483.0
141899,484.0
142149,485.0
142199,485.0
142249,485.0
142399,486.0
142649,486.0
142949,487.0
143276,488.0
143449,489.0
143599,490.0
143699,490.0
143949,491.0
144099,491.0
144155,491.0
144249,492.0
144349,492.0
144449,493.0
144699,493.0
145199,495.0
145399,496.0
145620,496.0
146399,499.0
146549,500.0
146699,500.0
146899,501.0
147149,502.0
147199,502.0
147378,502.0
147449,503.0
147699,504.0
147749,504.0
147999,505.0
148299,506.0
148550,506.0
148699,507.0
148949,508.0
149429,509.0
149499,510.0
149799,511.0
149949,511.0
150049,512.0
150149,512.0
150349,513.0
151049,515.0
151149,515.0
151187,515.0
151349,516.0
151399,516.0
151549,517.0
151649,517.0
151899,518.0
151949,518.0
152066,518.0
152249,519.0
152749,521.0
152949,522.0
153099,522.0
153499,523.0
153531,523.0
153799,524.0
153824,524.0
154410,526.0
