Wall time,Step,Value
1658232152.1135802,949,56.0
1658232728.3168287,2149,56.0
1658232796.3717408,2299,56.0
1658233062.0277643,2849,56.0
1658233425.7309048,3599,56.0
1658233979.893023,4749,56.0
1658235448.8865087,7799,56.0
1658235524.861811,7949,56.0
1658235736.85487,8399,56.0
1658237228.8828843,11499,56.0
1658237350.3005412,11749,56.0
1658237852.3132226,12799,56.0
1658238140.9409497,13399,56.0
1658238284.2725654,13699,56.0
1658239126.8185422,15449,56.0
1658239179.6718187,15549,56.0
1658239368.8483062,15949,56.0
1658240066.1701894,17399,56.0
1658240541.4577582,18399,56.0
1658241844.5250401,21099,56.0
1658242346.5188532,22149,56.0
1658242778.5314002,23049,56.0
1658243120.6129777,23749,56.0
1658244603.293914,26849,56.0
1658245255.775167,28199,56.0
1658245633.945301,28999,56.0
1658245809.6710892,29349,55.0
1658245832.417254,29399,55.0
1658246618.6685956,31049,55.0
1658246960.0825622,31749,55.0
1658247270.9324975,32399,55.0
1658247603.428321,33099,55.0
1658247846.011382,33599,55.0
1658248881.9916515,35749,55.0
1658249071.5773277,36149,55.0
1658249261.31551,36549,55.0
1658250102.579589,38299,55.0
1658250200.6791968,38499,55.0
1658250246.0025744,38599,55.0
1658250586.410986,39299,55.0
1658250632.11038,39399,55.0
1658250798.2065809,39749,55.0
1658250994.3436954,40149,55.0
1658251137.8524115,40449,55.0
1658251802.6175606,41849,55.0
1658254417.59138,47299,55.0
1658254825.7122974,48149,55.0
1658255037.503941,48599,55.0
1658255067.3554928,48649,55.0
1658255210.7431881,48949,55.0
1658255354.2155802,49249,55.0
1658255784.9438736,50149,55.0
1658255853.2688599,50299,55.0
1658256072.8425853,50749,55.0
1658257245.2602148,53199,55.0
1658257321.0605364,53349,55.0
1658257465.0728037,53649,55.0
1658257608.6446636,53949,55.0
1658257963.5367231,54699,55.0
1658258106.8391738,54999,55.0
1658258227.240508,55249,55.0
1658259475.0473278,57849,55.0
1658259595.85461,58099,55.0
1658259618.728485,58149,55.0
1658260050.9886997,59049,54.0
1658260361.3662982,59699,54.0
1658261585.8244376,62249,54.0
1658261994.6828542,63099,54.0
1658263308.3574426,65849,54.0
1658263385.4583344,65999,54.0
1658263717.9311774,66699,54.0
1658263815.9157698,66899,54.0
1658264964.5864172,69299,54.0
1658265131.076191,69649,54.0
1658265659.9290633,70749,54.0
1658265947.6188316,71349,54.0
1658266189.752936,71849,54.0
1658266909.452585,73349,54.0
1658267173.8450718,73899,54.0
1658267362.9738421,74299,54.0
1658267506.3939908,74599,54.0
1658268277.9013531,76199,54.0
1658268971.8899395,77649,54.0
1658269349.7449293,78449,54.0
1658269734.6734881,79249,54.0
1658269832.7600753,79449,54.0
1658270240.7549624,80299,54.0
1658271080.532163,82049,54.0
1658272086.5666304,84149,54.0
1658272298.6797104,84599,54.0
1658272562.8216665,85149,54.0
1658272729.5197554,85499,54.0
1658272948.209256,85949,54.0
1658273281.4955034,86649,54.0
1658273334.5277767,86749,54.0
1658273402.9052696,86899,54.0
1658274463.2826586,89099,53.0
1658275536.9821088,91349,53.0
1658275967.5295942,92249,53.0
1658276186.7870677,92699,53.0
1658276496.3310666,93349,53.0
1658276571.6170497,93499,53.0
1658276760.698603,93899,53.0
1658277722.7605965,95899,53.0
1658278131.137556,96749,53.0
1658278365.1766331,97249,53.0
1658278440.7007146,97399,53.0
1658278916.2691913,98399,53.0
1658279731.5138204,100099,53.0
1658280017.7545915,100699,53.0
1658280569.547251,101849,53.0
1658281455.5925293,103699,53.0
1658281531.241581,103849,53.0
1658281554.0384812,103899,53.0
1658281742.7608616,104299,53.0
1658281841.1631362,104499,53.0
1658282007.4657495,104849,53.0
1658283276.9847114,107499,53.0
1658283450.4464276,107849,53.0
1658283662.4738739,108299,53.0
1658284191.8785412,109399,53.0
1658284290.416535,109599,53.0
1658284481.256242,109999,53.0
1658284670.8540692,110399,53.0
1658284769.427779,110599,53.0
1658285246.2548974,111599,53.0
1658285366.66223,111849,53.0
1658285389.334028,111899,53.0
1658285510.0750644,112149,53.0
1658285873.2362118,112899,53.0
1658285994.1929202,113149,53.0
1658286448.5605485,114099,53.0
1658286833.0280678,114899,53.0
1658287067.623326,115399,53.0
1658287355.6103618,115999,53.0
1658287986.3392615,117299,52.0
1658288198.6059384,117749,52.0
1658289038.1336064,119499,52.0
1658289067.8858407,119549,52.0
1658289113.4829834,119649,52.0
1658290164.275546,121849,52.0
1658290360.5302756,122249,52.0
1658290572.1079798,122699,52.0
1658290624.8966005,122799,52.0
1658290737.8541045,123049,52.0
1658291343.2108948,124299,52.0
1658291365.9167252,124349,52.0
1658291608.7652009,124849,52.0
1658291654.2895985,124949,52.0
1658291775.0703025,125199,52.0
1658292108.3660214,125899,52.0
1658292252.3062975,126199,52.0
1658292471.0659678,126649,52.0
1658292826.680023,127399,52.0
1658292970.071356,127699,52.0
1658294240.1475952,130349,52.0
1658296140.651309,134299,52.0
1658296261.0122614,134549,52.0
1658296570.126611,135199,52.0
